BBWD,Black-bellied Whistling-Duck
FUWD,Fulvous Whistling-Duck
EMGO,Emperor Goose
SNGO,Snow Goose
ROGO,Ross's Goose
GRGO,Graylag Goose
GWFG,Greater White-fronted Goose
LWFG,Lesser White-fronted Goose
TABG,Taiga Bean-Goose
TUBG,Tundra Bean-Goose
PFGO,Pink-footed Goose
BRAN,Brant
BARG,Barnacle Goose
CACG,Cackling Goose
CANG,Canada Goose
HAGO,Hawaiian Goose
MUSW,Mute Swan
TRUS,Trumpeter Swan
TUSW,Tundra Swan
WHOS,Whooper Swan
EGGO,Egyptian Goose
COMS,Common Shelduck
MUDU,Muscovy Duck
WODU,Wood Duck
BATE,Baikal Teal
GARG,Garganey
BWTE,Blue-winged Teal
CITE,Cinnamon Teal
NSHO,Northern Shoveler
GADW,Gadwall
FADU,Falcated Duck
EUWI,Eurasian Wigeon
AMWI,American Wigeon
LAYD,Laysan Duck
HAWD,Hawaiian Duck
ESBD,Eastern Spot-billed Duck
MALL,Mallard
MEDU,Mexican Duck
ABDU,American Black Duck
MODU,Mottled Duck
WCHP,White-cheeked Pintail
NOPI,Northern Pintail
GWTE,Green-winged Teal
CANV,Canvasback
REDH,Redhead
COMP,Common Pochard
RNDU,Ring-necked Duck
TUDU,Tufted Duck
GRSC,Greater Scaup
LESC,Lesser Scaup
STEI,Steller's Eider
LABD,Labrador Duck
SPEI,Spectacled Eider
KIEI,King Eider
COEI,Common Eider
HADU,Harlequin Duck
SUSC,Surf Scoter
WWSC,White-winged Scoter
STSC,Stejneger's Scoter
COSC,Common Scoter
BLSC,Black Scoter
LTDU,Long-tailed Duck
BUFF,Bufflehead
COGO,Common Goldeneye
BAGO,Barrow's Goldeneye
SMEW,Smew
HOME,Hooded Merganser
COME,Common Merganser
RBME,Red-breasted Merganser
MADU,Masked Duck
RUDU,Ruddy Duck
PLCH,Plain Chachalaca
MOUQ,Mountain Quail
NOBO,Northern Bobwhite
SCQU,Scaled Quail
CAQU,California Quail
GAQU,Gambel's Quail
MONQ,Montezuma Quail
WITU,Wild Turkey
RUGR,Ruffed Grouse
SPGR,Spruce Grouse
WIPT,Willow Ptarmigan
ROPT,Rock Ptarmigan
WTPT,White-tailed Ptarmigan
GRSG,Greater Sage-Grouse
GUSG,Gunnison Sage-Grouse
DUGR,Dusky Grouse
SOGR,Sooty Grouse
STGR,Sharp-tailed Grouse
GRPC,Greater Prairie-Chicken
LEPC,Lesser Prairie-Chicken
GRAP,Gray Partridge
RNEP,Ring-necked Pheasant
KAPH,Kalij Pheasant
INPE,Indian Peafowl
GRAF,Gray Francolin
BLFR,Black Francolin
REJU,Red Junglefowl
HISN,Himalayan Snowcock
CHUK,Chukar
ERFR,Erckel's Spurfowl (Francolin)
AMFL,American Flamingo
LEGR,Least Grebe
PBGR,Pied-billed Grebe
HOGR,Horned Grebe
RNGR,Red-necked Grebe
EAGR,Eared Grebe
WEGR,Western Grebe
CLGR,Clark's Grebe
CBSA,Chestnut-bellied Sandgrouse
ROPI,Rock Pigeon
CWPI,Common Wood-Pigeon (Wood Pigeon)
