WEGR,Western Grebe
CLGR,Clarks Grebe
WCGR,Western-Clarks Grebe
RNGR,Red-necked Grebe
HOGR,Horned Grebe
EAGR,Eared Grebe
LEGR,Least Grebe
PBGR,Pied-billed Grebe
COLO,Common Loon
YBLO,Yellow-billed Loon
ARLO,Arctic Loon
PALO,Pacific Loon
RTLO,Red-throated Loon
TUPU,Tufted Puffin
ATPU,Atlantic Puffin
HOPU,Horned Puffin
RHAU,Rhinoceros Auklet
CAAU,Cassins Auklet
PAAU,Parakeet Auklet
CRAU,Crested Auklet
WHAU,Whiskered Auklet
LEAU,Least Auklet
ANMU,Ancient Murrelet
MAMU,Marbled Murrelet
LBMU,Long-billed Murrelet
AMMU,Alaska Marbled Murrelet
KIMU,Kittlitzs Murrelet
XAMU,Xantuss Murrelet
SCMU,Scrippss Murrelet
GUMU,Guadalupe Murrelet
CRMU,Craveris Murrelet
BLGU,Black Guillemot
PIGU,Pigeon Guillemot
COMU,Common Murre
TBMU,Thick-billed Murre
RAZO,Razorbill
DOVE,Dovekie
GRSK,Great Skua
SPSK,South Polar Skua
POJA,Pomarine Jaeger
PAJA,Parasitic Jaeger
LTJA,Long-tailed Jaeger
IVGU,Ivory Gull
MAGU,Magellan Gull
BLKI,Black-legged Kittiwake
RLKI,Red-legged Kittiwake
GLGU,Glaucous Gull
ICGU,Iceland Gull
THGU,Thayers Gull
GWGU,Glaucous-winged Gull
HYGU,Hybrid Gull
GBBG,Great Black-backed Gull
SBGU,Slaty-backed Gull
WEGU,Western Gull
YFGU,Yellow-footed Gull
LBBG,Lesser Black-backed Gull
HERG,Herring Gull
CAGU,California Gull
UNGU,Unidentified Gull
RBGU,Ring-billed Gull
BEGU,Belchers Gull
UMGU,Unidentified Mew Gull
BHGU,Black-headed Gull
COGU,Common Gull
SHOG,Short-billed Gull
HEEG,Heermanns Gull
LAGU,Laughing Gull
FRGU,Franklins Gull
BOGU,Bonapartes Gull
LIGU,Little Gull
ROGU,Rosss Gull
SAGU,Sabines Gull
GBTE,Gull-billed Tern
CATE,Caspian Tern
ROYT,Royal Tern
GCTE,Great Crested Tern
ELTE,Elegant Tern
SATE,Sandwich Tern
CAYT,Cayenne Tern
FOTE,Forsters Tern
COTE,Common Tern
HYTE,Hybrid Tern
ARTE,Arctic Tern
ROST,Roseate Tern
HCRT,Common Tern X Roseate Tern Hybrid
ALTE,Aleutian Tern
BNTE,Black-naped Tern
LETE,Least Tern
LITE,Little Tern
ILTE,Interior Least Tern
CLTE,California Least Tern
SOTE,Sooty Tern
BRTE,Bridled Tern
GRAT,Gray-backed Tern
BLTE,Black Tern
WWTE,White-winged Tern
WHIT,Whiskered Tern
BRNO,Brown Noddy
BLNO,Black Noddy
BGNO,Blue-gray Noddy
WHTE,White Tern
BLSK,Black Skimmer
BFAL,Black-footed Albatross
WAAL,Wandering Albatross
HYAL,Hybrid Albatross
STAL,Short-tailed Albatross
LAAL,Laysan Albatross
BBAL,Black-browed Albatross
WCAL,White-capped Albatross
WAVA,Waved Albatross
YNAL,Yellow-nosed Albatross
NOFU,Northern Fulmar
COSH,Corys Shearwater
STRS,Streaked Shearwater
GRSH,Great Shearwater
MASH,Manx Shearwater
PFSH,Pink-footed Shearwater
AUSH,Audubons Shearwater
LISH,Little Shearwater
TRSH,Tropical Shearwater
BVSH,Black-vented Shearwater
TOSH,Townsends Shearwater
NESH,Newells Shearwater
SOSH,Sooty Shearwater
FFSH,Flesh-footed Shearwater
SHOS,Short-tailed Shearwater
WTSH,Wedge-tailed Shearwater
BULS,Bullers Shearwater
CHSH,Christmas Shearwater
BCPE,Black-capped Petrel
COPE,Cooks Petrel
HAPE,Hawaiian Petrel
TRPE,Trindade Petrel
JFPE,Juan Fernandez Petrel
PHPE,Phoenix Petrel
MOPE,Mottled Petrel
BOPE,Bonin Petrel
BWPE,Black-winged Petrel
MUPE,Murphys Petrel
STPE,Stejnegers Petrel
TAPE,Tahiti Petrel
BUPE,Bulwers Petrel
CAPE,Cape Petrel
LTSP,Least Storm-Petrel
FTSP,Fork-tailed Storm-Petrel
LHSP,Leachs Storm-Petrel
BANP,Band-rumped Storm-Petrel
WRSP,Wedge-rumped Storm-Petrel
BLSP,Black Storm-Petrel
TRSP,Tristrams Storm-Petrel
ASSP,Ashy Storm-Petrel
WISP,Wilsons Storm-Petrel
WHSP,White-throated Storm-Petrel
WFSP,White-faced Storm-Petrel
WTTR,White-tailed Tropicbird
RBTR,Red-billed Tropicbird
RTTR,Red-tailed Tropicbird
MABO,Masked Booby
BFBO,Blue-footed Booby
NABO,Nazca Booby
BRBO,Brown Booby
RFBO,Red-footed Booby
NOGA,Northern Gannet
ANHI,Anhinga
GRCO,Great Cormorant
DCCO,Double-crested Cormorant
GUCO,Guanay Cormorant
NECO,Neotropic Cormorant
BRAC,Brandts Cormorant
PECO,Pelagic Cormorant
RFCO,Red-faced Cormorant
AWPE,American White Pelican
BRPE,Brown Pelican
MAFR,Magnificent Frigatebird
GRFR,Great Frigatebird
LEFR,Lesser Frigatebird
COME,Common Merganser
RBME,Red-breasted Merganser
HOME,Hooded Merganser
MALL,Mallard
HAWD,Hawaiian Duck
LADU,Laysan Duck
MHDH,Mallard X Hawaiian Duck Hybrid
MBDX,Mallard X American Black Duck Intermediate
MBDH,Mallard X American Black Duck Hybrid
MALX,Mallard Dominant X American Black Duck Hybrid
ABDU,American Black Duck
MEDU,Mexican Duck
PBDU,Pacific Black Duck
ABDX,American Black Duck Dominant X Mallard Hybrid
MODU,Mottled Duck
GADW,Gadwall
EUWI,Eurasian Wigeon
AMWI,American Wigeon
FADU,Falcated Duck
EGWT,European Green-winged Teal
AGWT,Green-winged Teal
BATE,Baikal Teal
GARG,Garganey
BWTE,Blue-winged Teal
UNTE,Unidentified Teal
CITE,Cinnamon Teal
NSHO,Northern Shoveler
NOPI,Northern Pintail
WHIP,White-cheeked Pintail
OHDU,Other Hybrid Duck
WODU,Wood Duck
MUDU,Muscovy Duck
REDH,Redhead
CPOC,Common Pochard
CANV,Canvasback
GRSC,Greater Scaup
LESC,Lesser Scaup
TUDU,Tufted Duck
RNDU,Ring-necked Duck
COGO,Common Goldeneye
BAGO,Barrows Goldeneye
BUFF,Bufflehead
LTDU,Long-tailed Duck
HARD,Harlequin Duck
STEI,Stellers Eider
SPEI,Spectacled Eider
COEI,Common Eider
KIEI,King Eider
BLSC,Black Scoter
WWSC,White-winged Scoter
SUSC,Surf Scoter
RUDU,Ruddy Duck
MADU,Masked Duck
LSGO,Lesser Snow Goose
BLGO,Blue Goose
SBGI,Snow X Blue Goose Intergrade
BGSG,Blue Greater Snow Goose
GSGO,Greater Snow Goose
ROGO,Rosss Goose
SRGH,Snow X Rosss Goose Hybrid
GWFG,Greater White-fronted Goose
TABG,Taiga Bean-Goose
PFGO,Pink-footed Goose
LWFG,Lesser White-fronted Goose
OHGO,Other Hybrid Goose
TWFG,Tule White-fronted Goose
CAGO,Canada Goose
ACGO,Aleutian Cackling Goose
MCGO,Minima Cackling Goose
LCGO,Large Canada Goose
TCGO,Taverners Cackling Goose
RCGO,Richardsons Cackling Goose
DCGO,Dusky Canada Goose
SCGO,Small Canada-Cackling Goose
ATBR,Atlantic Brant
BABI,Black X Atlantic Brant Intergrade
BLBR,Black Brant
BRNG,Barnacle Goose
HAGO,Hawaiian Goose
EMGO,Emperor Goose
BBWD,Black-bellied Whistling-Duck
WIWD,West Indian Whistling-Duck
FUWD,Fulvous Whistling-Duck
MUSW,Mute Swan
WHOS,Whooper Swan
WHSW,Whistling Swan
BESW,Bewicks Swan
TRUS,Trumpeter Swan
AMFL,American Flamingo
ROSP,Roseate Spoonbill
WHIB,White Ibis
SCIB,Scarlet Ibis
GLIB,Glossy Ibis
WFIB,White-faced Ibis
HYIB,Hybrid Ibis
WOST,Wood Stork
AMBI,American Bittern
LEBI,Least Bittern
YEBI,Yellow Bittern
GWHE,Great White Heron
GBHE,Great Blue Heron
GREG,Great Egret
PRHE,Pacific Reef Heron
SNEG,Snowy Egret
REEG,Reddish Egret
TRHE,Tricolored Heron
LBHE,Little Blue Heron
CAEG,Cattle Egret
GRHE,Green Heron
BCNH,Black-crowned Night-Heron
YCNH,Yellow-crowned Night-Heron
WHCR,Whooping Crane
SACR,Sandhill Crane
MSCR,Mississippi Sandhill Crane
LIMP,Limpkin
KIRA,King Rail
CLRA,Clapper Rail
CRRA,California Ridgways Rail
LFRR,Light-footed Ridgways Rail
YRRA,Yuma Ridgways Rail
VIRA,Virginia Rail
YBCR,Yellow-breasted Crake
SORA,Sora
YERA,Yellow Rail
BLRA,Black Rail
BBRA,Buff-banded Rail
GURA,Guam Rail
EBRA,Eastern Black Rail
CBRA,California Black Rail
PUGA,Purple Gallinule
PUSW,Purple Swamphen
COGA,Common Gallinule
HAGA,Hawaiian Gallinule
MCMO,Mariana Common Moorhen
HACO,Hawaiian Coot
AMCO,American Coot
CARC,Caribbean Coot
REPH,Red Phalarope
RNPH,Red-necked Phalarope
WIPH,Wilsons Phalarope
AMAV,American Avocet
BNST,Black-necked Stilt
HAST,Hawaiian Stilt
BWST,Black-winged Stilt
EUWO,Eurasian Woodcock
AMWO,American Woodcock
COSN,Common Snipe
WISN,Wilsons Snipe
PTSN,Pin-tailed Snipe
SWSN,Swinhoes Snipe
SBDO,Short-billed Dowitcher
LBDO,Long-billed Dowitcher
STSA,Stilt Sandpiper
REKN,Red Knot
RRKN,Rufa Red Knot
PUSA,Purple Sandpiper
ROSA,Rock Sandpiper
SHAS,Sharp-tailed Sandpiper
PESA,Pectoral Sandpiper
WRSA,White-rumped Sandpiper
BASA,Bairds Sandpiper
LIST,Little Stint
LESA,Least Sandpiper
RNST,Red-necked Stint
LTST,Long-toed Stint
DUNL,Dunlin
CUSA,Curlew Sandpiper
SPOS,Spoon-billed Sandpiper
SESA,Semipalmated Sandpiper
WESA,Western Sandpiper
SAND,Sanderling
MAGO,Marbled Godwit
BARG,Bar-tailed Godwit
HUGO,Hudsonian Godwit
BLAG,Black-tailed Godwit
CGRE,Common Greenshank
GRYE,Greater Yellowlegs
LEYE,Lesser Yellowlegs
SOSA,Solitary Sandpiper
WOSA,Wood Sandpiper
MASA,Marsh Sandpiper
WILL,Willet
WATA,Wandering Tattler
GTTA,Gray-tailed Tattler
RUFF,Ruff
UPSA,Upland Sandpiper
BBSA,Buff-breasted Sandpiper
SPSA,Spotted Sandpiper
COSA,Common Sandpiper
LBCU,Long-billed Curlew
WHIM,Whimbrel
BTCU,Bristle-thighed Curlew
NOLA,Northern Lapwing
EUDO,Eurasian Dotterel
BBPL,Black-bellied Plover
EUGP,European Golden-Plover
AMGP,American Golden-Plover
PAGP,Pacific Golden-Plover
LEGP,Lesser Golden-Plover
KILL,Killdeer
SEPL,Semipalmated Plover
CRPL,Common Ringed Plover
PIPL,Piping Plover
SNPL,Snowy Plover
WSPL,Western Snowy Plover
LRSP,Lesser Sand-Plover
WIPL,Wilsons Plover
MOPL,Mountain Plover
SURF,Surfbird
RUTU,Ruddy Turnstone
BLTU,Black Turnstone
AMOY,American Oystercatcher
BLOY,Black Oystercatcher
NOJA,Northern Jacana
BTPI,Band-tailed Pigeon
PLPI,Plain Pigeon
PRPP,Puerto Rican Plain Pigeon
RBPI,Red-billed Pigeon
WCPI,White-crowned Pigeon
SNPI,Scaly-naped Pigeon
SPDO,Spotted Dove
AFCD,African Collared-Dove
ZEBD,Zebra Dove
